id,name,end_page,section_id,level_id,created_at,updated_at,writer,publisher,start_page,link,brief,language_id,type_id
329,فن التعامل مع المراهقين,289,3,2,11/28/2022 2:09,4/5/2023 22:36,ياسر نصر,بداية للانتاج الاعلامي,1,https://www.osboha180.com/rack/bookDesc?id=477,نحن بحاجة ملحّة للتّعامل بحذر شديد مع المراهقين، بما أنّهم يمرّون بفترة تعتبر الأصعب في حياة الإنسان، لما يطرأ عليهم من تغيّرات جسديّة ونفسيّة وصحيّة، بالنّسبة لهم حياتهم عبارة عن مشاكل وتحدّيات، أمّا علاقتهم بأهاليهم فتعتبر علاقة مضطربة نوعا ما، خاصّة إذا كان الأهل غير واعين بخطورة هذه المرحلة. لهذا طرح هذا الكتاب هذه المسألة، ووضّح المشهد بطريقة جميلة بدءًا من المشاكل المرتقبة إلى الحلول والأفكار الناجعة..,1,1
330,Start with Why,271,13,2,11/28/2022 2:09,4/4/2023 6:24,Simon Sinek,The Penguin Group,1,https://www.osboha180.com/evaluation/books/478b.pdf,"Why do you do what you do? Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over? People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all started with why. It was their natural ability to start with why that enabled them to inspire those around them and to achieve remarkable things. In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way—and it's the complete opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be lead, and people can be inspired. And it all starts with WHY. Any organization can explain what it does; some can explain how they do it; but very few can clearly articulate why. WHY is not money or profit—those are always results. WHY does your organization exist? WHY does it do the things it does? WHY do customers really buy from one company or another? WHY are people loyal to some leaders, but not others? Starting with WHY works in big business and small business, in the nonprofit world and in politics. Those who start with WHY never manipulate, they inspire. And the people who follow them don't do so because they have to; they follow because they want to. Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire. This book is for anyone who wants to inspire others or who wants to find someone to inspire them.",2,1
331,Zero To One,168,13,2,11/28/2022 2:09,4/4/2023 6:26,Peter Thiel & Blake Masters,Crown Buisness,1,https://www.osboha180.com/evaluation/books/479b.pdf,"If you want to build a better future, you must believe in secrets. The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we’re too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself. Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won’t make a search engine. Tomorrow’s champions will not win by competing ruthlessly in today’s marketplace. They will escape competition altogether, because their businesses will be unique. Zero to One presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places.",2,1
332,blink :The Power of Thinking Without Thinking,308,13,2,11/28/2022 2:09,4/4/2023 6:28,Malcolm Gladwell,PENGUIN BOOKS,1,https://www.osboha180.com/evaluation/books/480b.pdf,"Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made The Tipping Point a classic, Blink changes the way you'll understand every decision you make. Never again will you think about thinking the same way. Malcolm Gladwell redefined how we understand the world around us. Now, in Blink, he revolutionizes the way we understand the world within. Blink is a book about how we think without thinking, about choices that seem to be made in an instant - in the blink of an eye - that actually aren't as simple as they seem. Why are some people brilliant decision makers, while others are consistently inept? Why do some people follow their instincts and win, while others end up stumbling into error? How do our brains really work - in the office, in the classroom, in the kitchen, and in the bedroom? And why are the best decisions often those that are impossible to explain to others? In Blink we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple; the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball; the antiquities experts who recognize a fake at a glance. Here, too, are great failures of ""blink"": the election of Warren Harding; ""New Coke""; and the shooting of Amadou Diallo by police. Blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of ""thin-slicing"" - filtering the very few factors that matter from an overwhelming number of variables.",2,1
333,فتاة الضباب : أحاديث المرأة.. أين الخلل,203,2,2,11/28/2022 2:09,4/8/2023 19:53,مجموعة من المؤلفين,مركز دلائل,1,https://www.osboha180.com/evaluation/books/482b.pdf,الكتاب من تأليف جمع من الباحثات، للرّدّ على أشهر الأحاديث التي يستغلّها البعض للطّعن في مكانة المرأة في الإسلام، حيث يقمن بفكّ ما أشكل على المدّعين من دلالات في هذه الأحاديث، الواحدة تلو الأخرى، ويوضّحن ما صاحبها من خلل في فهم المراد منها ومرامي معانيها، حيث تناولت الباحثات موضوعات الكتاب تحت العناوين الآتية: لولا حوّاء، تقبل في صورة شيطان، التّصفيق للنّساء، كمل من الرّجال كثير، ننهى أن نحدّ على ميّت فوق ثلاث إلاّ على الزّوج، خلقت من ضلع، هل تلعنها الملائكة، يقطع الصّلاة المرأة، ما تركت بعدي فتنة، تزوّجني صلّى اللّه عليه وسلّم وعمري ستّ سنين، هلاّ بكرًا، ناقصات عقل ودين، إنّما الشّؤم في ثلاثة. وبذلك ختمت الكتاب.,1,1
334,من هنا نتعلم,198,2,2,11/28/2022 2:09,4/15/2023 5:24,محمد الغزالي,نهضة مصر للطباعة والنشر والتوزيع,1,https://www.osboha180.com/evaluation/books/483b.pdf,"جاء هذا الكتاب ردّا على بعض الكتّاب والمفكّرين الذين يسعون إلى فصل الدّين عن بعض الأمور الحياتيّة، كالسّياسة وغيرها. ومن هنا، اِنطلق الكاتب في دحض هذه الأفكار، بترسيخ شموليّة الإسلام، وإفحام أصحاب هذه الأفكار، وهو الأمر الذي وفّق فيه إلى حدّ بعيد.. 

 .",1,1
335,علم النفس في حياتنا اليومية,582,2,3,11/28/2022 2:09,4/19/2023 20:14,كينيث .ت. سترونجمان,المركز القومي للترجمة,1,https://www.osboha180.com/rack/bookDesc?id=484,غدا علم النّفس في أيّامنا متداخلاً بحياتنا بشكل عميق، وبدت المستجدّات التي طرأت في القرن العشرين وفورة العلم وما استجدّ عنها، من الموضوعات التي أولاها علماء النّفس اِهتمامهم. ويضمّ علم النّفس في حياتنا اليوميّة الكثير من الموضوعات، ولا يمكن حصره في كتاب واحد، ولكنّ المؤلف اِختار ثمانية مواضيع تتّصل بحياة الإنسان اليوميّة وهي المعرفة والقراءة والخطوط والزّهور والمستهلك والصحّة والغذاء والأدوية ليلقي الضّوء عليها بشكل معمّق ومعرفيّ يغني عن قراءة كتب في هذه المواضيع للوصول إلى الدّور الذي يلعبه علم النّفس فيها بشكل مباشر أو غير مباشر، وهو الدّور الذي غدا في أيّامنا يحتلّ ركناً مهماً في هذه المواضيع.,1,1
336,الجناية على الشافعي,680,9,3,11/28/2022 2:09,4/27/2023 20:35,مروان الكردي,دار المعارج,1,https://www.osboha180.com/rack/bookDesc?id=485,"هذَا كِتابُ حِوَارٍ وَمُبَاحَثَةٍ وَتَقوِيمٍ، كِتَابُ حِلْمٍ وَعِلْمٍ بِمَنْهَجٍ سَوِيٍّ قَوِيمٍ، بُيِّنَ فِيهِ مَتَانَةُ القَوَاعِدِ الأُصُولِيَّةِ، وَصَلابَةُ الفُرُوعِ الفِقهِيَّةِ، وَمَسَائِلُ مِنَ الأَحاديثِ النَّبَوِيَّةِ، وَقَضَايَا مِنَ اللُّغَةِ العَرَبِيَّةِ، بِلِسَانِ الحُجَّةِ وَالبُرهَانِ وَالمَنطِقِ وَالبَيَانِ، بَعِيْدًا عَنِ العَاطِفَةِ أَوِ العُدوَانِ، رَامِيًا إِرْشَادَ الإِخوَانِ وَالخُلَّانِ وَدَفْعَ الضَّيْمِ وَالبُهْتَانِ.
كِتَابٌ حَاوَرَ المُناوئِيْنَ وَالمتهَوِّكِينَ وَمَنْ هَاجَ هَائِجُهُ عَلَى الفِقْهِ الإِسلامِيِّ وَأدلَّتِهِ وَأُصُولِ استِنْبَاطِهِ للأَحكَامِ، فَالكِتَابُ رَمَّ الرَّثَّ وَرَتَقَ الفَتْقَ وَجَبَرَ الوَهْيَ بُغيَةَ الإِحكَامِ وَالإِبْرَامِ وَالإِلْزَامِ.
وَلَمْ يُرَيِّثْ فِي إِلْزَامِهِم بِحَجَجٍ وَبَراهِيْنَ نَقلِيَّةٍ وَعَقلِيَّةٍ، وَلَمْ يَنِ فِي كَشْفِ عُوَارِي مَنْهَجِهِم وَمَنْهَجِيَّتِهِمُ الِاستِشْرَاقِيَّةِ، وَفِي ذلِكَ تَوَالَتْ أَدِلَّتُهُ وَتَكَاثَفَتْ كَالغَمَامِ، دُونَمَا استِبْهَامٍ أَوِاسْتِعْجَامٍ.",1,1
337,بصحبة كوب من الشاي,196,4,1,11/28/2022 2:09,4/18/2023 17:58,ساجد العبدلي,دار كتاب,1,https://www.osboha180.com/evaluation/books/486b.pdf,هذا الكتاب عبارة عن مجموعة من المشاهدات والتأملات والتفكرات التي كتبها الكاتب في جلسات متعاقبة من حياته ، في حضرة كوب كتاب ما وكوب من الشاي دائماً ، مشاهدات وتأملات وتفكرات حول نفسه ومشاعره ومزاجه تجاه الحياة وتقلباتها وظواهرها والناس وأطوارهم ، لذا جعل الكاتب هذه المشاهدات والتأملات والتفكرات بين دفتى هذا الكتاب تفيض أملاً وتفاؤلاً وإيجابية .,1,1
339,صور وخواطر,288,6,1,11/28/2022 2:09,4/3/2023 1:40,علي الطنطاوي,دار المنارة,1,https://foulabook.com/book/downloading/183197343,"يقدّم الكتاب مادّة تعكس الحياة بكافّة جوانبها الإنسانية والإجتماعية، فقد طاف الكاتب بين علوم الأدب والفلسفة والحكمة وما يُستَلهم منها من عِبر ودروس.. وقد قدّم الكثير من خبرته وعلمه الواسع.. فهو باختصار، خلاصة تجربة حياتيّة زاخرة. 
وقد تنوّعت اللّوحات في المجموعة لتشكّل عملاً أدبياً يمزج في شفافيّة أخّاذة بين حكمة الكاتب وفلسفته وإبداعه الأدبيّ. 
والمميّز، اللّافت للانتباه في هذا الكتاب لغته السهلة السلسة رغم عمق المحتوى، ممّا يجعل كلّ أنواع القرّاء يستمتعون حتما بقراءته.",1,1
341,كيف تقرأ كتاباً,378,1,2,11/28/2022 2:09,4/21/2023 3:46,مورتيمر آدلر,الدار العربية للعلوم,1,https://www.osboha180.com/evaluation/books/493b.pdf,"إن معظم إبداعنا التعليمي، والمال المنفق، والجهد الذي يبذل هو على تعليم القراءة خلال الصفوف الستة للمرحلة الابتدائية. وبعد هذه المرحلة لا يوجد سوى تدريب رسمي قليل لحمل التلاميذ إلى مستويات ومهارات أعلى من ذلك. وإن الحاجة إلى كتاب ""كيف نقرأ"" في يومنا هذا تبدو شديدة لأن متوسط خريجي المدارس الثانوية إذا دخلوا جامعات يكونوا قراءً رديئين وغير كفوئين ويلبي هذا الكتاب الذي نقلب صفحاته هذه الحاجة حيث يلقي أضواء على مشكلة تعليم كيفية القراءة من خلال تحليل شامل ومنظم لهذه المشكلة ويركز المؤلف من خلال ذلك على الأشياء التي يجب أن تقال في فن القراءة والنقاط الي يجب أن توضح عند الحاجة لاكتساب مستويات أعلى من المهارات في هذا الفن",1,1
342,قصة العلوم الطبية في الحضارة الإسلامية,320,8,2,11/28/2022 2:09,4/3/2023 22:46,راغب السرجاني,مؤسسة أقرأ,1,https://www.osboha180.com/rack/bookDesc?id=494,"هذا الكتاب يروي قصة العلوم الطبية في الحضارة الإسلامية و تطورات الطب في ذالك الوقت ، حيث يحتوي كتاب الطب هذا على ثلاث محاور وهي ""علم الطب في الحضارة الإسلامية"" ـ ""علوم ذات صلة بالعلوم الطبية"" ـ ""علماء الحضارة الطبية"". كتاب الطب هذا من تأليف الدكتور ""راغب السرجاني"" فهو غني بالمعلومات حول تاريخ الطب في الاسلام إبتداءا من الطب بالأعشاب إلى علم التشريح والصيدلة و طب الأطفال، طب العيون ، ....الخ.",1,1
343,الميكروبات والحرب البيولوجية,187,8,3,11/28/2022 2:09,4/4/2023 16:53,مصطفى عاشور,منشأة المعارف,1,https://www.osboha180.com/rack/bookDesc?id=495,لما كان للإرهاب البيولوجى وأسلحة الدماء الشامل فى عصرنا الحديث أهمية كبيرة؛ لذا وجب علينا معرفة ما يمكننا معرفته عن هذه الميكروبات متضمناً نبذة تاريخية عنها وأماكن ظهورها. وبلاشك أن هذا العدو الميكروبة ترجع خطورته لكونه من الكائنات المجهرية، ولعدم إمكانية التعرف عليه بأى من الحواس المادية المجردة إلا بعد ظهور أعراضه الإكلينيكية على الأفراد الذين تعرضوا بأى صورة للإرهاب البيولوجى دون توفر أو عدم جدوى وسائل الوقاية المتاحة. من أجل ذلك يقدم لنا هذا كتاب الميكروبات والحرب البيولوجية كل ما هو متاح من تاريخ الميكروبات وأنواعها وخصائصها واستخدامها كسلاح قاتل، ليس ضد البشر فحسب؛ بل ضد الطير والحيوان والنبات، ومؤثراً على مياه البحار والأنهار، وما تحوى من كائنات حية وهذا دليل واضح على أن الحرب البيولوجية,1,1
344,هكذا علمتني الحياة,368,4,1,11/28/2022 2:09,4/18/2023 18:00,مصطفى السباعي,المكتب الإسلامي,1,https://www.osboha180.com/evaluation/books/488b.pdf,يعد هذا الكتاب مجموعة من الخواطر الخاصة بالمؤلف الجليل ، والتي كتبها في فترات متقطعة كانت تدفع إلى كتابتها مناسبات الأحداث ولقد دونت هذه الخواطر كما وردت ، غير مرتبة ولا مبوبة ويردف بعضها بعضا ، فالكتاب يعرضها كما هي حتى تعطي صورة صادقة للمواقف التي كتبت لها ، وهذه الخواطر هي خلاصة تجارب المؤلف في الحياة ، ولم ينقل شيئا من كتاب ولا استعان فيها بآراء غيره ، فالكتاب يقدم خبرة ونصحا من الحياة نفسها ، فخير النصح ما أعطته الحياة نفسها ، وأبلغ الموعظة ما اتصل بتجارب الحياة ذاتها ، وهذه الخواطر لا تتحدث عن المعاني الدقيقة التي تخطر في بال الفلاسفة ، وإنما كتبت بعيدة عن التعقيد والغموض ، وتشتمل هذه الخواطر على معان كثيرة نظرا لعمومها ، وتركت هكذا حتى يفهمها القارئ أو يفهم منها ما يشاء ما دام لفظها يحتمل فهمه ويدل عليه ، والخواطر قد تتناول فئات من الناس ، لم يقصد بها أشخاصا معينين ، وإنما قصدت كل من اتصف بتلك الصفات ، فالخواطر المتعلقة بهم خواطر نحو صفات معينة لا أشخاص معينين .,1,1
345,اقرا وربك الاكرم,290,4,1,11/28/2022 2:09,4/18/2023 18:01,جودت سعيد,دار الفكر المعاصر / بيروت,1,https://www.osboha180.com/evaluation/books/487b.pdf,في هذا الكتاب يربط الكاتب العلم بالدين كوحده واحده . يتحدث الكتاب عن قيمة العلم بين الأمم وانه بالعلم والقراءة يكون التقدم والرقى لأى حضارة. ويتطرق الكتاب فى الحديث إلى ضرورة وأهمية التفكر فى الكون وكيف بدأ الخلق والخروج من عالم الأسخاص لعالم الأفكار ويؤكد على ضرورة العناية والأهتمام بالدين وأن كل شئ فى حياتنا فى اصله هو مرتبط بالدين ولابد أن يكون الدين علماً كما سار الفلك والكيمياء والفيزياء علماً.,1,1
346,ثروة الامم,264,10,2,11/28/2022 2:09,4/20/2023 23:54,آدم سميث,معهد الدراسات الاستراتيجية,1,https://www.osboha180.com/evaluation/books/490b.pdf,هذا الكتاب يستعرض سميث تحليله حول أصل وازدهار بعض البلدان، مثل إنكلترا والبلدان الإسكندنافية. وفيه يحلل النظريات الاقتصادية حول تقسيم العمل ، والسوق، والنقد، وطبيعة الثراء، وسعر البضائع، والأجور والأرباح ، وتراكم رأس المال. وفيه يشرح مختلف أنظمة الاقتصاد السياسي، ولا سيما المركانتيلية والفيزيوقراطية ، ويحلل أيضاً فكرة النظام الطبيعي ونظام الحرية الطبيعية ، الناتجة عن الفائدة الشخصية التي تتحول إلى فائدة عامة، من خلال لعبة المؤسسة الحرة، والتنافس الحر، وحرية التبادلات,1,1
347,الاستثمار : قراءة في المفهوم والأنماط والمحددات,205,10,1,11/28/2022 2:09,4/19/2023 21:40,دريد محمد أحمد,دار أمجد للنشر والتوزيع,1,https://docdro.id/divQGfJ,الكتاب يعتير مدخلا سلسا في فهم عملية الإستثمار،  موجه للأشخاص العاديين، ينصح بقراءته خاصة اننا في عالم يتوجه نحوخوصصة كل شيء، ومعرفة أسس الاستثمار أصبح ضرورة لكل فرد.,1,1
348,الهدي النبوي في تربية الأولاد في ضوء الكتاب والسنة,342,3,2,11/28/2022 2:09,4/5/2023 22:38,سعيد بن علي بن وهف القحطانيّ,عالم الأدب,1,https://www.osboha180.com/rack/bookDesc?id=502,في كتاب الهدي النبويّ في تربية الأولاد تجد شرحا وافيا في كيفيّة تربية الأولاد وتنشئتهم، حيث لم يترك النبيّ صلّى اللّه عليه وسلّم أمرا يخصّ الأولاد إلاّ وأشار إليه من جميع نواحيه،   وقد قسّم الكاتب هذا الكتاب إلى أربعة وعشرين مبحثا معزّزا إيّاه بالأحاديث والآيات القرآنية.,1,1
349,مشروع الابن المبدع,320,3,2,11/28/2022 2:09,4/5/2023 22:39,رضا المصري,دار الفضيلة,1,https://www.osboha180.com/rack/bookDesc?id=503,"هو أحد سلسلة كتب للكاتب ""رضا المصرى"" تهتم بتوجيه الآباء إلى الأساليب العلمية الصحيحة لتربية أولادهم فى شتى مراحل نموهم لكى يشبوا أصحاء نفسياً واجتماعياً وعقلياً ، ويهتم هذا الكتاب برسم خطة ورؤية واضحة لتربية الأبناء من خلال منهج متكامل يمكن الآباء من تربية أبنائهم تربية متوازنة تنمى مداركهم وتجعلهم مبدعين متفوقين.. يعلمك كيف تعيش مع أولادك لا من أجلهم..",1,1
350,الاقتراب من الله (بحث في أصل الكون وكيف بدأ),353,8,3,11/28/2022 2:09,4/4/2023 16:58,بول ديفيز,المركز القومي للترجمة,1,https://www.osboha180.com/rack/bookDesc?id=504,هناك مجموعة من الأسئلة اللاهثة حاول المؤلف أن يجيب عنها خلال مراحل حياته الأولى؛ كيف أن كل شىء ينتهى إلى الله؟ وكيف أنَّ أى تفسير يحتاج إلى تفسير، وهكذا إلى ما لا نهاية، باعتبار حضور قوة العلم الذى يقدم تفسيرًا لأكثر ما كان غامضًا، وحين انتقل إلى دور العالم الباحث بعد تخرجه، وجد نفسه رغمًا عنه قد بدأ يعبأ المساحة التى ظلت عبر قرون عديدة منطقة خاصة بالدين، وأصبح يستجوب ظواهر العالم.,1,1
351,الأدلة العقلية النقلية على أصول الاعتقاد,620,9,3,11/28/2022 2:09,4/27/2023 20:10,سعود بن عبد العزيز بن محمد العريفي,دار عالم الفوائد,1,https://www.osboha180.com/rack/bookDesc?id=505,"فإنَّ الله – تعالى – قد فطَر الخلائق كلَّها على عبادته والاستسلام لأمره؛ قال – تعالى -: ( بَلْ لَهُ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ كُلٌّ لَهُ قَانِتُونَ ) [البقرة: 116]، وقال تعالى: ( وَلَهُ أَسْلَمَ مَن فِي السَّمَاوَاتِ وَالأَرْضِ طَوْعًا وَكَرْهًا ).
إلا أن حِكمة الله البالغة اقتضت أنْ يخص بعض خلقه بالابتلاء، ويحمَّلهم أمانةَ الاختيار لتظهر فيهم آثارُ صِفاته بحسب ما يصيرُ إليه حالهم من الإيمان وملازمة الفطرة الأولى، أو معاندتها بالكفران.
وبنو آدم من هذا الفريق المختص بالابتلاء؛ كما قال – تعالى -: ( إِنَّا خَلَقْنَا الْإِنْسَانَ مِنْ نُطْفَةٍ أَمْشَاجٍ نَبْتَلِيهِ فَجَعَلْنَاهُ سَمِيعًا بَصِيرًا * إِنَّا هَدَيْنَاهُ السَّبِيلَ إِمَّا شَاكِرًا وَإِمَّا كَفُورًا )
لذلك ينفرد بعضهم بين سائر الخلائق بالتخلف عن السجود الاختياري لله – تعالى – كما قال – سبحانه -: ( أَلَمْ تَرَ أَنَّ اللَّهَ يَسْجُدُ لَهُ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ وَالشَّمْسُ وَالْقَمَرُ وَالنُّجُومُ وَالْجِبَالُ وَالشَّجَرُ وَالدَّوَابُّ وَكَثِيرٌ مِنَ النَّاسِ وَكَثِيرٌ حَقَّ عَلَيْهِ الْعَذَابُ ) وإن كان السجود القهري لا يتخلف عنه أحد، كما قال سبحانه: ( وَلِلّهِ يَسْجُدُ مَن فِي السَّمَاوَاتِ وَالأَرْضِ طَوْعًا وَكَرْهًا ).",1,1
352,امرأة من طراز خاص,219,1,1,11/28/2022 2:09,4/21/2023 2:28,كريم الشاذلي,دار اليقين,1,https://www.osboha180.com/evaluation/books/506b.pdf,كتاب يخاطب المرأة الطموحة، عبر استعراضه لعادات خمس يرى بأهمية أن تلتفت إليهم كل من تطمح في ارتياد القمة . يبدأ بعادة المبادرة، مشددا على أن المرأة الناجحة لا بد وأن تتمتع بصفة الإقدام، تصنع حياتها، وتمهد دربها، دون أن تنتظر ما قد يمن به عليها شخصا ما . ثم يتحدث عن الثقة بالنفس، فالنجاح لا يقترب من شخص مزعزع الفكر، مهترئ الوجدان، الثقة بالنفس هي التي تدفع المرء منا إلى العمل والتميز والنجاح . والعادة الثالثة هي الذكاء الاجتماعي، عن المرأة ذات القلب الساحر، الذي يستحوذ على نواصي القلوب والعقول يحدثنا . العادة الرابعة هيي التخطيط للحياة، كيف تسيطر المرأة على حياتها، وتضع البرامج والخطط لتحقيق أفضل النتائج، سؤال يجيبك عنه الكتاب . والعادة الخامسة والأخيرة هي إدارة الأولويات، عن الوقت وأهميته وطرق الاستفادة منه.,1,1
353,خواطر شاب,164,1,1,11/28/2022 2:09,4/21/2023 2:29,أحمد الشقيري,العبيكان,1,https://www.osboha180.com/evaluation/books/507b.pdf,في زمن قل فيه الشباب الطموح الذي يحمل هموم دينه وبلده.. يحملها على ظهره ويبوح بها ويفكر في المستقبل في شكل خواطر ذكية.. في هذا الزمان الصعب يخرج علينا أحمد الشقيري.. يحمل خواطره وأفكاره.. انه لا يعبر عن نفسه فقط وإنما يعبر عن مشاعر وأحاسيس وأفكار جيل من الشباب يحب دينه وبلاده ويحلم بمستقبل أفضل.. خواطر أحمد الشقيري شعلة أمل تقول بوضوح أن شباب هذه الأمة هم الأمل في مستقبل أفضل..,1,1
354,رحلتي من الشك الى الإيمان,97,2,1,11/28/2022 2:09,4/4/2023 19:42,مصطفى محمود,دار المعارف,1,https://www.osboha180.com/evaluation/books/503b.pdf,كلّ ما في هذه الدّنيا زائل لا محالة، ولن يبقى معك إلاّ إيمانك ويقينك باللّه، أنت تتساءل، واللّه يجيبك عن كلّ هذه التّساؤلات. فلتنظر من حولك ولنفسك، كلّ شيء عبارة عن آية من آيات اللّه.. لا يوجد شيء عبثا.. يحقّ لك التساؤل كي تعرفَ وتنيرَ بصيرتك.. وستكون رحلتُك في أمانٍ مع اللّه..,1,1
355,حوار مع صديقي الملحد,165,2,2,11/28/2022 2:09,4/5/2023 19:50,مصطفى محمود,دار العودة - بيروت,1,https://www.osboha180.com/evaluation/books/502b.pdf,"""حوار مع صديقي الملحد"" كتاب فلسفيّ دينيّ من تأليف مصطفى محمود، صدر هذا الكتاب عام 1986م، وقد تضمَّن مجموعة من الرّدود على الأسئلة التي يسألها الملحدون حول الدّين الإسلاميّ، كما أنَّه يجيب على بعض التساؤلات الوجوديّة الماديّة التي تراود الإنسان.
.",1,1
356,ضوابط المعرفة وأصول الالستدلال والمناظرة,498,9,3,11/28/2022 2:09,4/27/2023 20:07,عبد الرحمن حسن حبنكة الميداني,دار القلم,1,https://www.osboha180.com/rack/bookDesc?id=510,"لقي هذا الكتاب استحساناً لدى الكثير من طلاب العلوم الإسلامية، والأساتذة الكبار المتخصصين في العلوم العقلية الإسلامية لعدة أمور:

لما اشتمل عليه: من تذليل وتبسيط للمسائل والقضايا الصحيحة، التي احتوى عليها علم المنطق القديم، وعلم المنطق الحديث. ومن بيان لطائفة من أمهات القضايا والمصطلحات الفلسفية الدائرة في كثير من العلوم الإسلامية، والتي تعتبر من الأسس النافعة لضبط المعارف، وليس فيها ما يخالف مفاهيم نصوص مصادر التشريع الإسلامي. ومن بيان لطائفة من القواعد الأساسية الضابطة للفكر، والنافعة في العلوم، لا سيما العلوم الإسلامية، التي كتب الكثير منها في ضوء ضوابط القضايا الفكرية والمصطلحات التي اشتمل عليها علم المنطق، وفي ضوء بعض المبادئ الفلسفية الصحيحة.

ولما اشتمل عليه من تصنيف سهل ميسر مقسم، ومرتب موضح بالأمثلة، لفن آداب البحث والمناظرة.

ولما اشتمل عليه من رسوم بيانية، وجداول تقرب للدارس فهم القضايا، وحصر الأقسام، وجمع الأشباه والنظائر.

ولما اشتمل عليه من أمثلة وافرة متنوعة في مختلف المسائل والقضايا، إذ لم تقتصر على الأمثلة القليلة التقليدية التي اعتادت الكتب المتصلة بهذه المسائل والقضايا أن تستشهد بها، فهي لا تساعد طالب العلم على تطبيق القواعد والقضايا التي هي أمثلة لها، في مختلف العلوم، إذ غدت بمثابة رموز قد يجمد فكر الطالب عندها.

فجاء الكتاب مناسباً لطلاب هذا العصر الذي نعيشه، ومنسجماً مع أساليب مؤلفات العلوم المعاصرة التخصصية، المعتنى بها في تسهيل العبارة، وتقريب الأفكار، واستخدام وسائل الإيضاح، والرسوم المساعدة على الفهم والنظرة الشاملة وجمع أطراف المسائل",1,1
357,خرافة الإلحاد,674,2,3,11/28/2022 2:09,4/19/2023 19:51,عمرو شريف,مكتبة الشروق الدولية,1,https://www.osboha180.com/rack/bookDesc?id=511,"عندما أزالت ثورة الاِتّصالات المعاصرة الحواجز بين الثّقافات والحضارات، غزا الإلحاد الغربيّ المعاصر عقول البعض من شبابنا. ولخطورة القضيّة، يتناولها الكتاب بالتّفصيل. فيبدأ بدراسة تحليليّة متعمّقة لمختلف ظواهر الوجود (الكون - الحياة - التطوّر البيولوجيّ - العقل الإنسانيّ - الدّين - الأخلاق) ليحدّد العلاقة الحقيقيّة بين الألوهيّة والعلم: «صراع» أم «وفاق»؟
ثم يتصدّى الكاتب لآراء أعمدة الإلحاد في الغرب، وعلى رأسهم البيولوجيّ البريطانيّ ريتشارد دوكنز، ويتبع ذلك بجولة مع الإلحاد فى العالم الإسلاميّ، ويطرح علينا خبرته الشّخصيّة في مناظرة العديد من الملاحدة العرب وغير العرب، ويخرج علينا - لأوّل مرّة - بتصنيف لدوافع الإلحاد وأنماطه لدى هؤلاء، مع أسلوب التّصدّي لكلّ من هذه الأنماط.
وفي المقابل، يأخذنا الكاتب في جولة مع الرّحلات الإيمانيّة لبعض كبار المفكّرين الذين كان العقل هاديًا لهم في طريقهم إلى اللّه.
ويختم المؤلف الكتاب بطرح المنهج الواجب اِتّباعه للخروج من مستنقع الإلحاد، متضمّناً الخطوط العريضة لتجديد الفكر الدّيني الغارق في الجمود والتّقليد، والذي ساهم في نشأة هذه الظّاهرة.",1,1
